time,first encoder,second encoder,third encoder,fourth encoder,fifth encoder,upper torque sensor,lower torque sensor
118.012001,870861.024000,870858.450000,290286.072000,290285.946000,72571.446000,1.801732,7.947998
118.013001,870880.392000,870877.836000,290292.516000,290292.408000,72573.048000,1.689305,8.414001
118.014001,870899.760000,870897.204000,290298.960000,290298.834000,72574.668000,1.222996,8.497009
118.015001,870919.128000,870916.518000,290305.386000,290305.296000,72576.270000,1.586888,8.656616
118.016001,870938.478000,870935.796000,290311.812000,290311.704000,72577.890000,1.441624,8.701172
118.017001,870957.846000,870955.056000,290318.220000,290318.112000,72579.510000,1.695653,7.852173
118.018001,870977.196000,870974.316000,290324.628000,290324.538000,72581.112000,1.585667,7.625732
118.019001,870996.546000,870993.558000,290331.036000,290330.964000,72582.732000,1.584447,6.562805
118.020001,871015.896000,871012.818000,290337.462000,290337.390000,72584.334000,1.936986,6.415710
118.021001,871035.246000,871032.132000,290343.870000,290343.816000,72585.954000,1.696873,5.649719
118.022001,871054.614000,871051.428000,290350.314000,290350.260000,72587.556000,2.020482,4.950867
118.023001,871073.964000,871070.778000,290356.776000,290356.704000,72589.158000,1.969823,5.863647
118.024001,871093.332000,871090.164000,290363.238000,290363.166000,72590.778000,1.900365,5.688171
118.025001,871112.700000,871109.586000,290369.718000,290369.628000,72592.380000,1.947118,5.921021
118.026001,871132.068000,871129.008000,290376.198000,290376.108000,72594.000000,1.885228,7.035217
118.027001,871151.436000,871148.466000,290382.696000,290382.606000,72595.602000,1.854832,7.628784
118.028001,871170.804000,871167.924000,290389.194000,290389.086000,72597.222000,1.637425,7.791443
118.029001,871190.190000,871187.364000,290395.674000,290395.584000,72598.842000,1.675389,8.171387
118.030001,871209.558000,871206.786000,290402.172000,290402.064000,72600.462000,1.971165,8.216248
118.031001,871228.926000,871226.208000,290408.652000,290408.562000,72602.064000,1.583104,8.378906
118.032001,871248.312000,871245.612000,290415.096000,290415.006000,72603.684000,1.736058,8.573608
118.033001,871267.680000,871265.034000,290421.558000,290421.450000,72605.304000,1.574315,8.114014
118.034001,871287.048000,871284.366000,290428.002000,290427.912000,72606.906000,1.948338,8.583069
118.035001,871306.398000,871303.734000,290434.446000,290434.356000,72608.526000,1.542699,8.429871
118.036001,871325.766000,871323.084000,290440.872000,290440.800000,72610.146000,1.137059,7.526550
118.037001,871345.116000,871342.380000,290447.316000,290447.226000,72611.748000,1.885228,7.076721
118.038001,871364.484000,871361.676000,290453.742000,290453.670000,72613.368000,1.830907,6.594543
118.039001,871383.834000,871381.008000,290460.186000,290460.096000,72614.970000,1.598363,7.178650
118.040001,871403.202000,871400.322000,290466.612000,290466.540000,72616.572000,1.905370,6.250000
118.041001,871422.552000,871419.636000,290473.056000,290473.002000,72618.192000,1.592015,6.268921
118.042001,871441.920000,871438.950000,290479.518000,290479.446000,72619.794000,1.869969,7.095642
118.043001,871461.270000,871458.318000,290485.962000,290485.872000,72621.414000,1.800511,6.304016
118.044001,871480.638000,871477.686000,290492.424000,290492.334000,72623.016000,1.806859,6.789246
118.045001,871499.988000,871497.036000,290498.886000,290498.796000,72624.636000,1.808079,7.421265
118.046001,871519.356000,871516.422000,290505.348000,290505.258000,72626.238000,1.847264,7.386169
118.047001,871538.724000,871535.790000,290511.828000,290511.702000,72627.858000,1.804295,7.408447
118.048001,871558.092000,871555.212000,290518.290000,290518.182000,72629.460000,1.555272,7.590637
118.049001,871577.460000,871574.544000,290524.752000,290524.626000,72631.080000,2.053319,7.957458
